k,mean
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2,2.380565485728892
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1,2.1661945614438216
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2,2.5469017216939687
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3,2.392298287612334
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2,2.401282606449456
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2,2.36845493840451
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2,2.406703953341035
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2,2.349911508256865
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2,2.409564959415391
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2,2.46107104476336
1.1.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2,2.6496110349439217
1.1.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2,2.478142122308876
1.1.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2,2.3946577121477937
1.1.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2,2.4281555755083124
1.1.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2,2.3963731458742785
1.1.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2,2.5515139180269735
1.1.2.2.2.2.2.2.3.1.2.2.2.1.2.2.2.2.2.2.2.2,1.0665556051478349
1.1.2.2.2.2.2.2.3.1.2.2.2.2.2.2.2.2.2.2.2.2,2.081245967337296
1.1.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2,2.3775703094942577
1.1.2.2.2.2.2.3.1.1.2.2.1.2.1.2.2.1.2.2.2.2,1.782839043627872
1.1.2.2.2.2.2.3.1.1.2.2.1.2.1.2.2.2.2.2.2.2,1.6804336026727054
1.1.2.2.2.2.2.3.1.1.2.2.2.2.1.2.2.2.2.2.2.2,1.8491292602219727
1.1.2.2.2.2.2.3.1.1.2.2.2.2.2.2.2.2.2.2.2.2,2.9492511324811654
1.1.2.2.2.2.2.3.1.2.2.2.2.2.2.2.2.2.2.2.2.2,3.15343419445791
1.1.2.2.2.2.2.3.2.1.1.2.2.2.2.2.2.2.2.2.2.2,2.8546869976282765
1.1.2.2.2.2.2.3.2.1.2.1.2.2.2.2.2.2.2.2.2.2,2.8115808738189165
1.1.2.2.2.2.2.3.2.1.2.2.1.2.1.2.2.1.2.2.2.2,1.8197403606814058
1.1.2.2.2.2.2.3.2.1.2.2.1.2.1.2.2.2.2.2.2.2,1.7372642470148603
1.1.2.2.2.2.2.3.2.1.2.2.1.2.2.2.2.2.2.2.2.2,2.8627389202319424
1.1.2.2.2.2.2.3.2.1.2.2.2.1.2.2.2.2.2.2.2.2,1.9432058543387325
1.1.2.2.2.2.2.3.2.1.2.2.2.2.1.2.2.2.2.2.2.2,1.892998612000968
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.1.2.2.2.2.2.2,2.8602363269687956
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.1.2.2.2.2.2,2.8362654282728883
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.1.2.2.2.2,3.073607498902188
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.1.2.2.2,2.834100025765694
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2.1.2.2,2.87063870869487
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2.2.1.2,2.810810417150168
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2.2.2.1,2.833871666480336
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2.2.2.2,2.0984642315261794
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2.2.2.3,2.833237976411992
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2.2.3.2,2.8770055331153235
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2.3.2.2,2.8260887491814475
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.3.2.2.2,2.8525427150759053
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.3.2.2.2.2,2.7377074501216163
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.2.3.2.2.2.2.2,2.879263946661626
1.1.2.2.2.2.2.3.2.1.2.2.2.2.2.3.2.2.2.2.2.2,2.8339932164910677
1.1.2.2.2.2.2.3.2.1.2.2.2.2.3.2.2.2.2.2.2.2,3.500935166798059
1.1.2.2.2.2.2.3.2.1.2.2.2.3.2.2.2.2.2.2.2.2,2.8661022502339133
1.1.2.2.2.2.2.3.2.1.2.2.3.2.2.2.2.2.2.2.2.2,2.8617964007021404
1.1.2.2.2.2.2.3.2.1.2.3.2.2.2.2.2.2.2.2.2.2,2.8994614866979638
1.1.2.2.2.2.2.3.2.1.3.2.2.2.2.2.2.2.2.2.2.2,2.843141475285932
1.1.2.2.2.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2.2.2,3.0365788902363473
1.1.2.2.2.2.2.3.2.2.2.1.2.2.2.2.2.2.2.2.2.2,2.997572919742298
1.1.2.2.2.2.2.3.2.2.2.2.1.2.2.2.2.2.2.2.2.2,3.1682948306651606
1.1.2.2.2.2.2.3.2.2.2.2.2.1.2.2.2.2.2.2.2.2,2.9891610331403786
1.1.2.2.2.2.2.3.2.2.2.2.2.2.1.2.2.2.2.2.2.2,2.1692413187850828
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.1.2.2.2.2.2.2,3.0422976095767127
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.1.2.2.2.2.2,3.016130306049565
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.1.2.2.2.2,3.2586723062448115
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.1.2.2.2,3.0190910689392596
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.1.2.2,3.066335609919761
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.1.2,3.0074797201694006
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.1,3.0179543559262068
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2,2.404312215354424
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.3,3.026294025187312
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.3.2,3.065352859407205
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.3.2.2,3.008959778210333
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.3.2.2.2,3.046546519801168
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.3.2.2.2.2,2.9159128764143434
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.3.2.2.2.2.2,3.0674881088912156
1.1.2.2.2.2.2.3.2.2.2.2.2.2.2.3.2.2.2.2.2.2,3.024938709175672
1.1.2.2.2.2.2.3.2.2.2.2.2.2.3.2.2.2.2.2.2.2,3.6540891100529933
1.1.2.2.2.2.2.3.2.2.2.2.2.3.2.2.2.2.2.2.2.2,3.0587110494921808
1.1.2.2.2.2.2.3.2.2.2.2.3.2.2.2.2.2.2.2.2.2,2.987642956200735
1.1.2.2.2.2.2.3.2.2.2.3.2.2.2.2.2.2.2.2.2.2,3.0913228661058287
1.1.2.2.2.2.2.3.2.2.3.2.2.2.2.2.2.2.2.2.2.2,3.0354478471080353
1.1.2.2.2.2.2.3.2.3.2.2.2.2.2.2.2.2.2.2.2.2,3.1428137752752607
1.1.2.2.2.2.2.3.3.1.2.2.2.2.2.2.2.2.2.2.2.2,2.8311850809391004
1.1.2.2.2.2.2.3.3.2.2.2.2.2.2.2.2.2.2.2.2.2,3.0053750006325535
1.1.2.2.2.2.2.4.2.1.2.2.2.2.2.2.2.2.2.2.2.2,2.686266679882357
1.1.2.2.2.2.2.4.2.2.2.2.2.2.2.2.2.2.2.2.2.2,2.8862016938465955
1.1.2.2.2.2.3.1.2.1.2.2.2.1.2.1.2.1.2.2.2.2,0.8801894759437362
1.1.2.2.2.2.3.1.2.1.2.2.2.1.2.1.2.2.2.2.2.2,0.8472232593843685
1.1.2.2.2.2.3.1.2.1.2.2.2.1.2.2.2.2.2.2.2.2,1.0167421674126818
1.1.2.2.2.2.3.1.2.1.2.2.2.2.2.2.2.2.2.2.2.2,1.1770452883202531
1.1.2.2.2.2.3.2.1.1.2.2.1.2.1.2.2.1.2.2.2.2,1.6536738200769558
